target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	554.514	0	0
ENST00000576455	2046	1856.51	0	0
ENST00000510508	915	725.514	0	0
ENST00000474471	1209	1019.51	0	0
ENST00000381700	354	171.026	0	0
ENST00000445946	537	348.115	0	0
ENST00000472572	1086	896.514	0	0
ENST00000420022	462	273.947	0	0
ENST00000432593	318	138.933	0	0
ENST00000553856	396	210.143	10.9665	29.4187
ENST00000556126	189	45.1915	0	0
ENST00000483851	960	770.514	0	0
ENST00000558098	1707	1517.51	38.4389	14.2794
ENST00000305831	1890	1700.51	6.41939	2.12806
ENST00000551068	672	482.563	0	0
ENST00000550981	453	265.028	0	0
ENST00000361390	956	766.514	4319.64	3176.86
ENST00000361453	1042	852.514	3613.04	2389.14
ENST00000361624	1542	1352.51	10918.6	4550.89
ENST00000361739	684	494.514	4825.98	5501.46
ENST00000361851	207	55.0689	631	6459.42
ENST00000361899	681	491.563	3819.06	4379.73
ENST00000362079	784	594.514	3808.93	3611.7
ENST00000361227	346	163.678	726	2500.43
ENST00000361335	297	120.877	641	2989.41
ENST00000361381	1378	1188.51	8187	3883.21
ENST00000361567	1812	1622.51	4913	1706.98
ENST00000361681	525	336.286	1636	2742.49
ENST00000361789	1141	951.514	3022	1790.4
ENST00000321039	1313	1123.51	1	0.501755
ENST00000343280	5419	5229.51	18.0952	1.95062
ENST00000427512	5130	4940.51	15.3611	1.75275
ENST00000356584	1799	1609.51	0	0
ENST00000425074	1559	1369.51	0	0
ENST00000415705	563	373.899	0.543699	0.819737
ENST00000450712	587	397.861	0	0
ENST00000319969	996	806.514	0	0
ENST00000291809	1545	1355.51	0	0
ENST00000524372	646	456.563	0	0
ENST00000523882	577	387.861	1.61321e-06	2.3447e-06
ENST00000520540	568	378.899	0	0
ENST00000519310	567	377.899	0	0
ENST00000442920	1857	1667.51	0	0
ENST00000523312	572	382.899	1.32825	1.95554
ENST00000523439	2403	2213.51	0	0
ENST00000517598	1562	1372.51	0	0
ENST00000347466	2221	2031.51	0	0
ENST00000523138	462	273.947	0	0
ENST00000415379	2186	1996.51	0	0
ENST00000521754	561	371.899	0	0
ENST00000221735	2309	2119.51	23.5596	6.26617
ENST00000518999	746	556.514	0	0
ENST00000521137	690	500.514	0.349503	0.393645
ENST00000522346	5542	5352.51	4.63546	0.488209
ENST00000284020	1287	1097.51	0	0
ENST00000424930	2366	2176.51	0	0
ENST00000426954	2327	2137.51	0	0
ENST00000354197	1569	1379.51	0	0
ENST00000427558	714	524.514	0	0
ENST00000332030	494	305.54	0	0
ENST00000282292	2185	1995.51	36.1303	10.2068
ENST00000240719	3962	3772.51	13.7613	2.05635
ENST00000376233	3933	3743.51	7.20904	1.0856
ENST00000344222	3695	3505.51	0	0
ENST00000325134	3599	3409.51	0	0
ENST00000506609	1146	956.514	5.27329	3.10786
ENST00000196489	2508	2318.51	13	3.16085
ENST00000359489	1602	1412.51	0	0
ENST00000428052	1647	1457.51	0	0
ENST00000536878	4252	4062.51	43.0577	5.97484
ENST00000307468	2676	2486.51	23.5977	5.34995
ENST00000356724	1586	1396.51	3.58634	1.44769
ENST00000332854	2964	2774.51	22.223	4.5153
ENST00000418193	1676	1486.51	12.4958	4.73876
ENST00000396161	3535	3345.51	33.5042	5.64556
ENST00000541849	1769	1579.51	0	0
ENST00000407202	1750	1560.51	0	0
ENST00000541072	591	401.861	0	0
ENST00000542008	530	341.253	1.44236	2.3827
ENST00000347302	2472	2282.51	0	0
ENST00000540556	2759	2569.51	0	0
ENST00000254182	1959	1769.51	0	0
ENST00000391703	2239	2049.51	0	0
ENST00000299871	2577	2387.51	0	0
ENST00000535785	2641	2451.51	0	0
ENST00000540780	462	273.947	0	0
ENST00000240731	2440	2250.51	11.9909	3.00359
ENST00000420680	1707	1517.51	6.05512	2.24937
ENST00000544273	2639	2449.51	0	0
ENST00000541801	2395	2205.51	0	0
ENST00000318203	2245	2055.51	0	0
ENST00000356715	3699	3509.51	13.8481	2.2244
ENST00000282296	3699	3509.51	13.8481	2.2244
ENST00000359821	1525	1335.51	2.73581	1.1548
ENST00000270632	1467	1277.51	0	0
ENST00000439922	847	657.514	0	0
ENST00000357701	3598	3408.51	0	0
ENST00000391816	1271	1081.51	0	0
ENST00000270620	1223	1033.51	2.00592	1.09413
ENST00000376920	825	635.514	80.6331	71.5252
ENST00000334976	1946	1756.51	330.475	106.061
ENST00000376918	2033	1843.51	19.8862	6.08102
ENST00000293431	818	628.514	5.88845	5.28149
ENST00000391815	769	579.514	30.1115	29.2914
ENST00000376916	847	657.514	0	0
ENST00000389208	1043	853.514	0	0
ENST00000389201	2958	2768.51	0	0
ENST00000535879	1400	1210.51	0	0
ENST00000544769	2838	2648.51	11	2.34132
ENST00000338916	2913	2723.51	0	0
ENST00000425202	760	570.514	2.58334	2.55262
ENST00000458538	493	304.57	0	0
ENST00000490451	477	288.75	5.41666	10.575
ENST00000293441	6643	6453.51	0	0
ENST00000391813	4785	4595.51	0	0
ENST00000391814	6622	6432.51	0	0
ENST00000483981	428	240.655	0	0
ENST00000468654	668	478.563	0	0
ENST00000461154	558	368.899	0	0
ENST00000483128	780	590.514	0	0
ENST00000359082	6616	6426.51	1	0.0877193
ENST00000250340	1405	1215.51	9	4.17401
ENST00000445858	1128	938.514	0	0
