target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	556.58	0	0
ENST00000576455	2046	1858.52	0	0
ENST00000510508	915	727.521	0	0
ENST00000474471	1209	1021.52	1	0.543502
ENST00000381700	354	172.759	0	0
ENST00000445946	537	350.005	0	0
ENST00000472572	1086	898.521	0	0
ENST00000420022	462	275.962	2	4.02372
ENST00000432593	318	140.494	0	0
ENST00000553856	396	212.131	5.25796	13.7614
ENST00000556126	189	46.3991	0	0
ENST00000483851	960	772.521	0.608425	0.437265
ENST00000558098	1707	1519.52	11.219	4.09917
ENST00000305831	1890	1702.52	0	0
ENST00000551068	672	484.58	0	0
ENST00000550981	453	267.206	0	0
ENST00000361390	956	768.521	4433.47	3202.84
ENST00000361453	1042	854.521	3454.94	2244.74
ENST00000361624	1542	1354.52	10665.5	4371.63
ENST00000361739	684	496.58	5191	5803.77
ENST00000361851	207	56.7489	622	6085.28
ENST00000361899	681	493.58	4004.55	4504.48
ENST00000362079	784	596.521	3848.8	3582.19
ENST00000361227	346	165.384	739	2480.84
ENST00000361335	297	122.458	620	2810.95
ENST00000361381	1378	1190.52	8517	3971.89
ENST00000361567	1812	1624.52	5019	1715.3
ENST00000361681	525	338.074	1714	2814.8
ENST00000361789	1141	953.521	3021	1759.01
ENST00000321039	1313	1125.52	2	0.986562
ENST00000343280	5419	5231.52	8.91855	0.946487
ENST00000427512	5130	4942.52	21.2982	2.39244
ENST00000356584	1799	1611.52	0	0
ENST00000425074	1559	1371.52	0	0
ENST00000415705	563	375.787	0	0
ENST00000450712	587	399.71	0	0
ENST00000319969	996	808.521	0	0
ENST00000291809	1545	1357.52	7.08118	2.89606
ENST00000524372	646	458.58	0	0
ENST00000523882	577	389.71	0	0
ENST00000520540	568	380.787	0	0
ENST00000519310	567	379.787	0	0
ENST00000442920	1857	1669.52	0	0
ENST00000523312	572	384.71	0	0
ENST00000523439	2403	2215.52	2.86657	0.718348
ENST00000517598	1562	1374.52	0	0
ENST00000347466	2221	2033.52	0	0
ENST00000523138	462	275.962	0	0
ENST00000415379	2186	1998.52	0	0
ENST00000521754	561	373.787	0	0
ENST00000221735	2309	2121.52	17.8607	4.6741
ENST00000518999	746	558.58	0	0
ENST00000521137	690	502.58	0	0
ENST00000522346	5542	5354.52	9.87448	1.02386
ENST00000284020	1287	1099.52	0	0
ENST00000424930	2366	2178.52	0	0
ENST00000426954	2327	2139.52	0	0
ENST00000354197	1569	1381.52	0	0
ENST00000427558	714	526.58	0	0
ENST00000332030	494	307.463	0.650171	1.17404
ENST00000282292	2185	1997.52	41.3674	11.4978
ENST00000240719	3962	3774.52	0.00654784	0.000963129
ENST00000376233	3933	3745.52	21.0445	3.11943
ENST00000344222	3695	3507.52	0	0
ENST00000325134	3599	3411.52	4.15865	0.676787
ENST00000506609	1146	958.521	1.0924	0.632742
