target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	553.823	0	0
ENST00000576455	2046	1855.82	0	0
ENST00000510508	915	724.823	0	0
ENST00000474471	1209	1018.82	0	0
ENST00000381700	354	170.61	0	0
ENST00000445946	537	347.462	0	0
ENST00000472572	1086	895.823	0	0
ENST00000420022	462	273.497	4	10.4503
ENST00000432593	318	138.539	0	0
ENST00000553856	396	209.935	2.72017	9.25835
ENST00000556126	189	46.0272	0	0
ENST00000483851	960	769.823	0	0
ENST00000558098	1707	1516.82	34.1584	16.0911
ENST00000305831	1890	1699.82	11.787	4.95473
ENST00000551068	672	481.876	0	0
ENST00000550981	453	264.659	0	0
ENST00000361390	956	765.823	3259.53	3041.22
ENST00000361453	1042	851.823	2552.32	2140.95
ENST00000361624	1542	1351.82	8130.57	4297.57
ENST00000361739	684	493.876	3946.98	5710.43
ENST00000361851	207	56.5218	435.543	5506.01
ENST00000361899	681	490.876	3185.04	4636.23
ENST00000362079	784	593.823	3023.92	3638.61
ENST00000361227	346	163.281	519	2271.19
ENST00000361335	297	120.768	417	2467.2
ENST00000361381	1378	1187.82	5807	3493.19
ENST00000361567	1812	1621.82	3588	1580.78
ENST00000361681	525	335.531	1216	2589.54
ENST00000361789	1141	950.823	2123	1595.41
ENST00000321039	1313	1122.82	1	0.636371
ENST00000343280	5419	5228.82	0	0
ENST00000427512	5130	4939.82	27.4854	3.97569
ENST00000356584	1799	1608.82	0	0
ENST00000425074	1559	1368.82	1.03401	0.53976
ENST00000415705	563	373.319	0	0
ENST00000450712	587	397.048	1.34978	2.42909
ENST00000319969	996	805.823	0	0
ENST00000291809	1545	1354.82	0	0
ENST00000524372	646	455.876	0	0
ENST00000523882	577	387.204	0	0
ENST00000520540	568	378.319	0	0
ENST00000519310	567	377.319	0	0
ENST00000442920	1857	1666.82	0	0
ENST00000523312	572	382.281	0	0
ENST00000523439	2403	2212.82	4.96737	1.60399
ENST00000517598	1562	1371.82	0	0
ENST00000347466	2221	2030.82	0	0
ENST00000523138	462	273.497	0	0
ENST00000415379	2186	1995.82	0	0
ENST00000521754	561	371.319	0	0
ENST00000221735	2309	2118.82	0	0
ENST00000518999	746	555.823	0.755919	0.971764
ENST00000521137	690	499.876	0	0
ENST00000522346	5542	5351.82	3.10586	0.41467
ENST00000284020	1287	1096.82	0	0
ENST00000424930	2366	2175.82	3.3376	1.09605
ENST00000426954	2327	2136.82	0	0
ENST00000354197	1569	1378.82	0	0
ENST00000427558	714	523.876	0	0
ENST00000332030	494	304.944	4.11125	9.63331
ENST00000282292	2185	1994.82	22.4922	8.05655
ENST00000240719	3962	3771.82	0	0
ENST00000376233	3933	3742.82	21.3218	4.07048
ENST00000344222	3695	3504.82	4.81159	0.980944
ENST00000325134	3599	3408.82	0	0
ENST00000506609	1146	955.823	0.326039	0.243733
ENST00000196489	2508	2317.82	8.07604	2.48966
ENST00000359489	1602	1411.82	0	0
